ticker,tipo_dados,periodo,receita,lucro,ebitda,margem_ebitda,roic,capex,capex_receita,alavancagem
VIVT3,trimestral,1T2024,13545635000.0,896109000.0,1910488000.0,14.104085928788129,1.0270436525041815,1909384000.0,14.095935701796186,1.5401530917755044
VIVT3,trimestral,2T2024,133301000.0,335400000.0,130720000.0,98.06378046676319,0.3809741335942253,2152299000.0,1614.615794330125,22.04141103121175
VIVT3,trimestral,3T2024,360121000.0,436560000.0,249876000.0,69.38667836643795,0.4941086518621878,2169259000.0,602.3694813687622,12.459477901038916
VIVT3,trimestral,4T2024,41805991000.0,3889263000.0,6382428000.0,15.266778390685678,4.295343721604565,2683851000.0,6.419776055541895,0.5505519216197974
VIVT3,trimestral,1T2025,14390273000.0,1056270000.0,1984968000.0,13.793817532162175,1.1907843860791583,2383618000.0,16.564091591591072,1.5584981722627267
VIVT3,trimestral,2T2025,254819000.0,282535000.0,259587000.0,101.87113205844148,0.3194106063449653,2149028000.0,843.3546949010866,10.460448712762966
VIVT3,trimestral,3T2025,303964000.0,548415000.0,524098000.0,172.42107618007395,0.6334421193829939,2162278000.0,711.359897882644,5.380675942285603
TIMS3,trimestral,1T2024,,,,,,,,
TIMS3,trimestral,2T2024,,,,,,,,
TIMS3,trimestral,3T2024,,,,,,,,
TIMS3,trimestral,4T2024,,,,,,,,
TIMS3,trimestral,1T2025,6393641000.0,797622000.0,1292138000.0,20.209736517893326,2.904293356415566,1332594000.0,20.842490218015055,0.03243326177234939
TIMS3,trimestral,2T2025,206292000.0,177764000.0,256377000.0,124.27869233901461,0.6341525260898877,800618000.0,388.09939309328524,-0.08616315036060176
TIMS3,trimestral,3T2025,111054000.0,232319000.0,116694000.0,105.07861040574855,0.8276943916266837,1243382000.0,1119.6192843121364,-1.7536291497420604
DESK3,trimestral,1T2024,268218000.0,21370000.0,86135000.0,32.113802951330634,0.8642259394766844,120738000.0,45.01487595910789,2.7543042897776746
DESK3,trimestral,2T2024,11863000.0,8397000.0,4631000.0,39.03734299924134,0.34137851547302084,58333000.0,491.7221613419877,51.604459080112285
DESK3,trimestral,3T2024,8026000.0,-5301000.0,1193000.0,14.86419137802143,-0.1674634422029988,343334000.0,4277.772240219288,257.73826487845764
DESK3,trimestral,4T2024,840735000.0,75608000.0,266255000.0,31.669313160508366,2.783364164296824,178731000.0,21.258898463844137,0.9918931099885449
DESK3,trimestral,1T2025,294586000.0,22125000.0,88753000.0,30.128044102571067,0.793062202243228,67580000.0,22.94066927824133,3.2069958198596105
DESK3,trimestral,2T2025,2821000.0,-4663000.0,-2461000.0,-87.23856788372917,-0.1457496762594313,52590000.0,1864.2325416518966,-114.94951239333604
DESK3,trimestral,3T2025,13174000.0,-212000.0,9912000.0,75.23910733262487,-0.007284892918946632,109181000.0,828.7611962957341,28.44564669087974
FIQE3,trimestral,1T2024,249261000.0,37447000.0,63298000.0,25.39426544866626,2.609027051054633,52818000.0,21.18983715864094,0.22056779045151506
FIQE3,trimestral,2T2024,5845000.0,3652000.0,-515000.0,-8.810949529512403,0.21564131739603068,36693000.0,627.7673224978614,-15.78495145631068
FIQE3,trimestral,3T2024,175000.0,5341000.0,7479000.0,4273.714285714285,0.306765027523273,115306000.0,65889.14285714286,1.9523666265543522
FIQE3,trimestral,4T2024,770098000.0,128126000.0,189572000.0,24.616607237001006,7.333239850159827,193246000.0,25.093689374599077,0.13396097524950942
FIQE3,trimestral,1T2025,269713000.0,36978000.0,71427000.0,26.482594461520208,2.0590267704662346,69374000.0,25.72141498555872,0.5476850490710795
FIQE3,trimestral,2T2025,16429000.0,8190000.0,6046000.0,36.80077911011017,0.4504464865174052,218959000.0,1332.759145413598,9.733997684419451
FIQE3,trimestral,3T2025,20076000.0,19663000.0,9872000.0,49.17314206017135,1.0748215281346,102644000.0,511.2771468420004,7.32237641815235
